title,points,countries,days
Red Notice,"25,918",90,48
We Can Be Heroes,"25,311",82,214
Army of the Dead,"18,888",89,92
Wish Dragon,"16,953",82,88
Army of Thieves,"15,081",90,52
The Mitchells vs. The Machines,"14,902",82,74
Fatherhood,"14,660",82,54
The Unforgivable,"13,458",89,20
The Guilty,"12,930",83,43
Yes Day,"12,809",81,66
Love Hard,"11,782",90,50
Outside the Wire,"11,661",82,45
Love and Monsters,"11,582",81,33
Kate,"11,224",83,50
Vivo,"11,037",79,58
Minions,"10,972",78,132
Back to the Outback,"10,555",88,20
He's All That,"10,222",83,35
Sweet Girl,"10,051",82,32
Blood Red Sky,"9,757",82,31
Major Grom: Plague Doctor,"9,642",80,98
My Little Pony: A New Generation,"9,615",81,41
The Forgotten Battle,"9,321",83,24
The Kissing Booth 3,"9,219",82,28
To All the Boys: Always and Forever,"9,058",83,24
Fast & Furious Presents: Hobbs & Shaw,"8,994",73,257
Thunder Force,"8,842",82,35
I Care a Lot,"8,610",54,41
The Woman in the Window,"8,547",82,33
365 Days,"8,488",60,313
The Harder They Fall,"8,433",89,28
Afterlife of the Party,"8,172",80,27
The Secret Life of Pets 2,"8,161",54,322
The Last Mercenary,"8,132",82,26
A Boy Called Christmas,"8,084",75,36
Finding 'Ohana,"7,939",81,49
Night Teeth,"7,824",88,22
Fifty Shades of Grey,"7,760",75,113
Resort to Love,"7,711",79,33
News of the World,"7,600",80,29
Gemini Man,"7,497",53,211
Things Heard & Seen,"7,396",82,29
Spider-Man: Homecoming,"7,338",75,130
Awake,"7,217",81,24
Venom,"6,928",44,183
Deadly Illusions,"6,900",82,18
Below Zero,"6,828",82,31
The White Tiger,"6,755",80,73
SAS: Red Notice,"6,709",64,32
Fear Street: 1994,"6,653",80,31
Spoiled Brats,"6,447",72,22
Bruised,"6,325",86,28
Sentinelle,"6,230",83,21
Hotel Transylvania 3: Summer Vacation,"6,219",51,188
The Dig,"6,172",82,25
Moxie,"6,062",81,24
Intrusion,"6,045",83,17
Sonic the Hedgehog,"6,015",54,202
A Castle for Christmas,"5,948",87,24
Pieces of a Woman,"5,908",79,21
Man on Fire,"5,724",72,20
Space Sweepers,"5,662",81,64
Paper Lives,"5,647",62,44
Spider-Man: Far from Home,"5,640",42,170
Secret Magic Control Agency,"5,607",77,32
Xtreme,"5,488",82,27
Chernobyl: Abyss,"5,405",48,58
Hypnotic,"5,392",89,18
Beckett,"5,363",82,18
Blackhat,"5,360",60,33
Central Intelligence,"5,344",81,18
Don't Look Up,"5,313",89,6
The Loud House Movie,"5,299",75,40
The Grinch,"5,247",58,209
The Last Letter from Your Lover,"5,142",69,27
Penguins of Madagascar,"5,077",69,47
Schumacher,"5,041",67,23
The Princess Switch 3: Romancing The Star,"5,031",89,21
Stowaway,"4,955",61,22
Seaspiracy,"4,916",49,44
Death to 2020,"4,824",74,27
Sky High,"4,784",70,32
Kingdom: Ashin of the North,"4,765",80,88
Aftermath,"4,764",79,18
Blue Miracle,"4,724",81,20
Shrek,"4,721",53,151
The Secret Life of Pets,"4,633",69,75
Good on Paper,"4,532",75,16
Trollhunters: Rise of the Titans,"4,442",80,17
There's Someone Inside Your House,"4,411",83,17
Jack Reacher: Never Go Back,"4,375",72,72
Squared Love,"4,366",82,19
The Equalizer 2,"4,354",54,164
The Silver Skates,"4,281",67,48
The Croods,"4,247",78,52
Fear Street: 1978,"4,128",81,24
I Am All Girls,"4,089",79,19
Bad Trip,"4,047",81,14
Double Dad,"4,027",72,17
Stuck Together,"3,927",65,29
Baywatch,"3,901",65,90
Run,"3,898",31,56
Nightbooks,"3,871",83,16
Crazy About Her,"3,855",66,32
The Starling,"3,848",76,21
Home,"3,793",61,90
Fear Street: 1666,"3,783",81,17
Skater Girl,"3,739",79,21
Yara,"3,737",86,17
Prey,"3,718",83,12
No One Gets Out Alive,"3,672",83,11
The Water Man,"3,644",73,26
Trouble,"3,586",25,35
Rurouni Kenshin: The Final,"3,576",60,38
